Name,Official Name,Currency,Capital,Region,Subregion,Demonym,Landlocked,Area
Bahamas,Commonwealth of the Bahamas,BSD,Nassau,Americas,Caribbean,Bahamian,FALSE,13943
Bosnia and Herzegovina,Bosnia and Herzegovina,BAM,Sarajevo,Europe,Southern Europe,"Bosnian, Herzegovinian",FALSE,51209
Saint Barthélemy,Collectivity of Saint Barthélemy,EUR,Gustavia,Americas,Caribbean,Saint Barthélemy Islander,FALSE,21
Belarus,Republic of Belarus,BYR,Minsk,Europe,Eastern Europe,Belarusian,TRUE,207600
Belize,Belize,BZD,Belmopan,Americas,Central America,Belizean,FALSE,22966
Bermuda,Bermuda,BMD,Hamilton,Americas,Northern America,Bermudian,FALSE,54
Bolivia,Plurinational State of Bolivia,BOB,Sucre,Americas,South America,Bolivian,TRUE,1098581
Brazil,Federative Republic of Brazil,BRL,Brasília,Americas,South America,Brazilian,FALSE,8515767
Barbados,Barbados,BBD,Bridgetown,Americas,Caribbean,Barbadian,FALSE,430
Brunei,"Nation of Brunei, Abode of Peace",BND,Bandar Seri Begawan,Asia,South-Eastern Asia,Bruneian,FALSE,5765
Bhutan,Kingdom of Bhutan,BTN,Thimphu,Asia,Southern Asia,Bhutanese,TRUE,38394
Botswana,Republic of Botswana,BWP,Gaborone,Africa,Southern Africa,Motswana,TRUE,582000
Central African Republic,Central African Republic,XAF,Bangui,Africa,Middle Africa,Central African,TRUE,622984
Canada,Canada,CAD,Ottawa,Americas,Northern America,Canadian,FALSE,9984670
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,AUD,West Island,Oceania,Australia and New Zealand,Cocos Islander,FALSE,14
Switzerland,Swiss Confederation,CHE,Bern,Europe,Western Europe,Swiss,TRUE,41284
Chile,Republic of Chile,CLF,Santiago,Americas,South America,Chilean,FALSE,756102
China,People's Republic of China,CNY,Beijing,Asia,Eastern Asia,Chinese,FALSE,9706961
Ivory Coast,Republic of Côte d'Ivoire,XOF,Yamoussoukro,Africa,Western Africa,Ivorian,FALSE,322463
Cameroon,Republic of Cameroon,XAF,Yaoundé,Africa,Middle Africa,Cameroonian,FALSE,475442
DR Congo,Democratic Republic of the Congo,CDF,Kinshasa,Africa,Middle Africa,Congolese,FALSE,2344858
Republic of the Congo,Republic of the Congo,XAF,Brazzaville,Africa,Middle Africa,Congolese,FALSE,342000
Cook Islands,Cook Islands,NZD,Avarua,Oceania,Polynesia,Cook Islander,FALSE,236
Colombia,Republic of Colombia,COP,Bogotá,Americas,South America,Colombian,FALSE,1141748
Comoros,Union of the Comoros,KMF,Moroni,Africa,Eastern Africa,Comoran,FALSE,1862
